"","Gene Symbol","Representative miRNA"
"142815","ADAM28","hsa-miR-1277-5p"
"142816","ADAM28","hsa-miR-4517"
"142817","ADAM28","hsa-miR-5583-3p"
"142818","ADAM28","hsa-miR-34b-3p"
"142819","ADAM28","hsa-miR-500a-5p"
"142820","ADAM28","hsa-miR-580-5p"
"142821","ADAM28","hsa-miR-5197-5p"
"142822","ADAM28","hsa-miR-4506"
"142823","ADAM28","hsa-miR-513b-3p"
"142824","ADAM28","hsa-miR-8066"
"142825","ADAM28","hsa-miR-409-3p"
"142826","ADAM28","hsa-miR-33a-3p"
"142827","ADAM28","hsa-miR-944"
"142828","ADAM28","hsa-miR-4760-3p"
"142829","ADAM28","hsa-miR-302f"
"142830","ADAM28","hsa-miR-32-3p"
"142831","ADAM28","hsa-miR-590-3p"
"142832","ADAM28","hsa-miR-3529-3p"
"142833","ADAM28","hsa-miR-624-3p"
"142834","ADAM28","hsa-miR-338-5p"
"142835","ADAM28","hsa-miR-7849-3p"
"142836","ADAM28","hsa-miR-4789-3p"
"142837","ADAM28","hsa-miR-4643"
"142838","ADAM28","hsa-miR-5683"
"142839","ADAM28","hsa-miR-552-3p"
"142840","ADAM28","hsa-miR-5580-3p"
"142841","ADAM28","hsa-miR-499b-3p"
"142842","ADAM28","hsa-miR-4802-3p"
"142843","ADAM28","hsa-miR-942-3p"
"142844","ADAM28","hsa-miR-323a-3p"
"142845","ADAM28","hsa-miR-1255b-2-3p"
"142846","ADAM28","hsa-miR-634"
"142847","ADAM28","hsa-miR-1295b-5p"
"142848","ADAM28","hsa-miR-3130-5p"
"142849","ADAM28","hsa-miR-660-5p"
"142850","ADAM28","hsa-miR-574-3p"
"142851","ADAM28","hsa-miR-4637"
"142852","ADAM28","hsa-miR-4661-5p"
"142853","ADAM28","hsa-miR-3923"
"142854","ADAM28","hsa-miR-510-5p"
"142855","ADAM28","hsa-miR-508-5p"
"142856","ADAM28","hsa-miR-514a-5p"
"142857","ADAM28","hsa-miR-888-3p"
"142858","ADAM28","hsa-miR-4418"
"142859","ADAM28","hsa-miR-1243"
"142860","ADAM28","hsa-miR-892b"
"142861","ADAM28","hsa-miR-1183"
"142862","ADAM28","hsa-miR-4318"
"142863","ADAM28","hsa-miR-892a"
"142864","ADAM28","hsa-miR-452-5p"
"142865","ADAM28","hsa-miR-5003-3p"
"142866","ADAM28","hsa-miR-5680"
"142867","ADAM28","hsa-miR-5197-3p"
"142868","ADAM28","hsa-miR-3154"
"142869","ADAM28","hsa-miR-3925-5p"
"142870","ADAM28","hsa-miR-3123"
"142871","ADAM28","hsa-miR-577"
"142872","ADAM28","hsa-miR-576-3p"
"142873","ADAM28","hsa-miR-548p"
"142874","ADAM28","hsa-miR-451b"
"142875","ADAM28","hsa-miR-3942-5p"
"142876","ADAM28","hsa-miR-3908"
