"name","selected","shared name","type"
"hsa-miR-3607-5p","false","hsa-miR-3607-5p","miRNA"
"hsa-miR-4528","false","hsa-miR-4528","miRNA"
"hsa-miR-4289","false","hsa-miR-4289","miRNA"
"hsa-miR-4729","false","hsa-miR-4729","miRNA"
"hsa-miR-1250-3p","false","hsa-miR-1250-3p","miRNA"
"hsa-miR-153-5p","false","hsa-miR-153-5p","miRNA"
"hsa-miR-3691-3p","false","hsa-miR-3691-3p","miRNA"
"hsa-miR-323b-3p","false","hsa-miR-323b-3p","miRNA"
"hsa-miR-6777-3p","false","hsa-miR-6777-3p","miRNA"
"hsa-miR-1273g-3p","false","hsa-miR-1273g-3p","miRNA"
"hsa-miR-488-5p","false","hsa-miR-488-5p","miRNA"
"hsa-miR-4530","false","hsa-miR-4530","miRNA"
"hsa-miR-665","false","hsa-miR-665","miRNA"
"hsa-miR-6884-3p","false","hsa-miR-6884-3p","miRNA"
"hsa-miR-6872-3p","false","hsa-miR-6872-3p","miRNA"
"hsa-miR-186-3p","false","hsa-miR-186-3p","miRNA"
"hsa-miR-6814-5p","false","hsa-miR-6814-5p","miRNA"
"hsa-miR-6793-3p","false","hsa-miR-6793-3p","miRNA"
"hsa-miR-361-3p","false","hsa-miR-361-3p","miRNA"
"hsa-miR-345-3p","false","hsa-miR-345-3p","miRNA"
"hsa-miR-4732-3p","false","hsa-miR-4732-3p","miRNA"
"hsa-miR-6072","false","hsa-miR-6072","miRNA"
"hsa-miR-5193","false","hsa-miR-5193","miRNA"
"hsa-miR-660-3p","false","hsa-miR-660-3p","miRNA"
"hsa-miR-877-3p","false","hsa-miR-877-3p","miRNA"
"hsa-miR-4324","false","hsa-miR-4324","miRNA"
"hsa-miR-544b","false","hsa-miR-544b","miRNA"
"hsa-miR-6748-3p","false","hsa-miR-6748-3p","miRNA"
"hsa-miR-5699-3p","false","hsa-miR-5699-3p","miRNA"
"hsa-miR-6734-3p","false","hsa-miR-6734-3p","miRNA"
"hsa-miR-1237-3p","false","hsa-miR-1237-3p","miRNA"
"hsa-miR-1248","false","hsa-miR-1248","miRNA"
"hsa-miR-6841-3p","false","hsa-miR-6841-3p","miRNA"
"hsa-miR-5091","false","hsa-miR-5091","miRNA"
"hsa-miR-5739","false","hsa-miR-5739","miRNA"
"hsa-miR-1250-5p","false","hsa-miR-1250-5p","miRNA"
"hsa-miR-6506-3p","false","hsa-miR-6506-3p","miRNA"
"hsa-miR-138-1-3p","false","hsa-miR-138-1-3p","miRNA"
"hsa-miR-8067","false","hsa-miR-8067","miRNA"
"hsa-miR-628-3p","false","hsa-miR-628-3p","miRNA"
"hsa-miR-26a-1-3p","false","hsa-miR-26a-1-3p","miRNA"
"hsa-miR-372-5p","false","hsa-miR-372-5p","miRNA"
"hsa-miR-342-3p","false","hsa-miR-342-3p","miRNA"
"hsa-miR-3664-3p","false","hsa-miR-3664-3p","miRNA"
"hsa-miR-1266-5p","false","hsa-miR-1266-5p","miRNA"
"hsa-miR-4797-3p","false","hsa-miR-4797-3p","miRNA"
"hsa-miR-6758-3p","false","hsa-miR-6758-3p","miRNA"
"hsa-miR-519d-5p","false","hsa-miR-519d-5p","miRNA"
"hsa-miR-5695","false","hsa-miR-5695","miRNA"
"hsa-miR-766-3p","false","hsa-miR-766-3p","miRNA"
"hsa-miR-136-5p","false","hsa-miR-136-5p","miRNA"
"hsa-miR-3653-5p","false","hsa-miR-3653-5p","miRNA"
"hsa-miR-1976","false","hsa-miR-1976","miRNA"
"hsa-miR-146a-3p","false","hsa-miR-146a-3p","miRNA"
"hsa-miR-301a-5p","false","hsa-miR-301a-5p","miRNA"
"hsa-miR-3921","false","hsa-miR-3921","miRNA"
