"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MZF1",-0.502996722010014,7.90191572110931,-5.47199183733928,1.36074446667082e-05,0.00148581643798816,3.25192902559741
"EIF4G1",-1.17312019830744,7.65336507162658,-5.469425594292,1.36941607187849e-05,0.00148581643798816,3.24590177712608
"NDRG2",-0.858389235322784,10.0265934612504,-5.4490282513483,1.44036192207934e-05,0.00155008705386701,3.1979760667849
"ZNF24",-0.707851248030062,8.73132128377817,-5.4420298248665,1.46555225683024e-05,0.00156447703416628,3.18152475045378
"GALNT10",-0.795623812163286,8.41392853925632,-5.43644695301068,1.48596698291085e-05,0.00157357959622327,3.16839818094491
"SFRP1",-1.44185300016773,5.85757088469878,-5.42492054444108,1.52903098136325e-05,0.00160633199208773,3.14128917612634
"UBE2G2",-0.647639642871809,7.92273640871394,-5.42095645582462,1.5441315174367e-05,0.00160942274774092,3.13196358810221
"STMN3",-0.342184625953643,5.2896472907028,-5.41347812065011,1.57303135546725e-05,0.0016267356290875,3.11436730711588
"GBP2",0.713837413048326,10.1029209445575,5.40856385477686,1.59231997118477e-05,0.00163391778748627,3.10280181464638
"ILF3",-1.00490001559648,7.26954780142756,-5.40488393713511,1.60692037072549e-05,0.00163621576517641,3.0941400707388
"AC128677.4",2.33121728892664,9.69989421761518,5.38843222928788,1.67386940566083e-05,0.00169137475746049,3.0554034507231
"PCDHB3",-0.517201580746266,7.68657744541516,-5.37438990508489,1.73324328947175e-05,0.00171635968099893,3.02232351744511
"PPAP2B",-1.58393989004759,9.40366602388271,-5.37356858428485,1.73678126771507e-05,0.00171635968099893,3.02038824509187
"MAP2K7",-0.413191977606045,6.49148677408284,-5.37340312861665,1.73749487991128e-05,0.00171635968099893,3.01999837693366
"SLC9A5",-0.511826741071203,8.24267564905809,-5.36824520662839,1.75989048426308e-05,0.00172560521038447,3.00784357913392
"ARNTL2",0.860819282394186,7.82610061979965,5.36214437281519,1.78675762841552e-05,0.00172605022679389,2.99346421113126
"CYTH1",-0.552874406924567,8.5357834616938,-5.35792444154231,1.80558402953821e-05,0.00172605022679389,2.98351641754833
"JUNB",-1.48907746854958,10.3854995311118,-5.35672896691968,1.81095379988553e-05,0.00172605022679389,2.98069804279633
"AFTPH",0.376234526177629,10.3788402915835,5.35638480238394,1.81250269339239e-05,0.00172605022679389,2.97988664282046
"GNA11",-0.558903458804006,8.92035532578154,-5.35252938112933,1.82994568294485e-05,0.00172951303400012,2.97079652975549
"EFNB1",-0.405783750891011,8.43783173272881,-5.34982759320203,1.84227043736509e-05,0.00172951303400012,2.96442574091934
"RFX5",0.906739338685402,9.3311322279862,5.34362898756393,1.8708649453929e-05,0.0017365308151076,2.94980746695262
"C9orf91",0.519811334456395,6.46173946044282,5.34127292251155,1.88185100128674e-05,0.0017365308151076,2.94425038330852
"MVK",-0.330937641639571,8.40413434925278,-5.33972547721258,1.88910204257381e-05,0.0017365308151076,2.94060031380214
"HSD17B1",-0.270265056321072,5.13706538570523,-5.33387731846201,1.91676160614523e-05,0.0017498050607272,2.92680427544033
"ADCK2",0.565365076066805,8.69536278109187,5.32679325722748,1.95081582851975e-05,0.00176869514535041,2.91008938660088
"EXOC2",0.537273206035639,7.22788003356723,5.31964203399077,1.98581374066056e-05,0.00178817799218529,2.89321237966419
"CASP1",0.954449650265941,8.67000212272625,5.29472994261252,2.11276851206903e-05,0.00188964302663904,2.83439120146174
"TTC37",0.621751323055922,7.85501169541704,5.28419064392662,2.16891973169694e-05,0.00192533796386719,2.80949334567073
"E2F3",-0.586805844972523,8.1733237741514,-5.28181779386224,2.18176848666676e-05,0.00192533796386719,2.80388671581682
"CLCF1",-0.618644665539774,8.79082104812092,-5.27427672281315,2.22311580446231e-05,0.00193100475367971,2.78606594121561
"TAP1",1.01719965265866,10.2098221669143,5.27408050981058,2.22420214009428e-05,0.00193100475367971,2.78560220663369
"PTCRA",-0.521281006075384,9.25493103112078,-5.27058889165776,2.24362351209528e-05,0.00193100475367971,2.77734959721821
"BPGM",0.616515850563832,6.19803607582044,5.27006688510411,2.24654175467761e-05,0.00193100475367971,2.77611573880234
"STAU2",0.509116460999583,7.6759665321196,5.26594168378389,2.26973879260345e-05,0.00193835692888335,2.76636442421398
"TOPBP1",0.687891775865337,8.63508806263949,5.25211974912933,2.34924234148562e-05,0.00198398135817031,2.7336833255257
"LY75",1.0975904454858,8.13614753200407,5.25145442940873,2.35313948200301e-05,0.00198398135817031,2.73210990016541
